Feature 0:
X = 758246.202422, Y = 2320463.191935
X = 759428.306281, Y = 2318777.724489
X = 759529.904334, Y = 2318779.307671
X = 759873.431145, Y = 2318744.097256
X = 759946.698213, Y = 2317305.073146
X = 760808.878731, Y = 2317007.521695
X = 761374.949447, Y = 2316150.929507
X = 761696.036084, Y = 2314715.784418
X = 762508.394022, Y = 2314769.115313
X = 762906.982608, Y = 2314471.125538
X = 763231.158375, Y = 2313252.408321
X = 763797.356943, Y = 2312402.634244
X = 764242.031459, Y = 2312409.663454
X = 764488.886171, Y = 2313272.285935
X = 766510.618268, Y = 2313196.250615
X = 768730.641877, Y = 2314225.814095
X = 770539.874487, Y = 2314322.665096
X = 771097.957578, Y = 2314778.006794
X = 772595.076239, Y = 2315309.548517
X = 772995.724011, Y = 2315674.486734
X = 773806.181244, Y = 2315843.300178
X = 774408.823836, Y = 2316671.417135
X = 775301.555211, Y = 2317240.631569
X = 775866.806608, Y = 2317249.979044
X = 776010.835574, Y = 2317759.526547
X = 776860.406090, Y = 2317861.531390
X = 777220.109607, Y = 2317624.072446
X = 777371.457833, Y = 2318072.899305
X = 778274.920873, Y = 2318750.671894
X = 779075.901717, Y = 2318716.739150
X = 779537.580203, Y = 2318460.750025
X = 779938.012178, Y = 2318825.881927
X = 780649.009973, Y = 2318100.745103
X = 783268.930376, Y = 2318699.619811
X = 784749.640277, Y = 2317554.934149
X = 785607.409920, Y = 2317921.273977
X = 786272.980052, Y = 2317269.950540
X = 786563.948350, Y = 2317714.529028
X = 787118.039434, Y = 2317636.151891
X = 788134.477225, Y = 2317274.979385
X = 789150.497081, Y = 2316940.907067
X = 789210.108762, Y = 2316434.725693
X = 789028.050337, Y = 2315207.491377
X = 789232.948309, Y = 2314751.168052
X = 789633.418139, Y = 2315109.784697
X = 790538.194504, Y = 2314969.969816
X = 790858.206349, Y = 2314109.888270
X = 792544.383156, Y = 2312901.722209
X = 792602.555068, Y = 2312483.433429
X = 792201.357971, Y = 2312165.312150
X = 792601.570404, Y = 2311813.876601
X = 793056.329242, Y = 2311977.396506
X = 793513.634289, Y = 2311633.744117
X = 794280.887706, Y = 2311376.713691
X = 794892.650191, Y = 2310927.603077
